sentence,label
In dem Schreiben haben die Menschen auf-geschrieben: Was sie sich wünschen.,1
Seit Juli 2017 gibt es Unterhalts-Vorschuss für Kinder bis 18 Jahre .,1
Sie sind dann die Adoptivelteren des Kindes.,0
"Weitsichtigkeit ist die Fähigkeit, langfristig und umfassend zu denken, insbesondere bei der Planung und Entscheidungsfindung.",0
Die Corona-Tests sind: PCR-Tests Antigen-Tests Es gibt auch Antikörper-Tests .,1
Vielleicht hat jemand Ihre Papiere gefunden und sie im Fund-BÃ¼ro abgegeben .,1
Denn die europäische Luchspopulation ist gegenwärtig stark dezimiert.,0
"Das ist wichtig, wenn eine Katastrophe passiert.",1
Sie wollen noch mehr über schwarzen Hautkrebs lesen?,1
Dadurch setzt sich die Incidenzrate erstmals wieder bei einem höheren Wert ein.,0
Dann ist er in den Fluss Mulde gesprungen.,1
"Platzwunden können durch eine Vielzahl von Ursachen entstehen, wie z.B. einem Sturz, einem Schlag oder einem Stoß.",0
Hinweis: Wunden können sich schnell entzünden.,1
Hier können Sie diese Nachricht auch in schwerer Sprache lesen In mehreren Thüringer Städten hat es am Sonntagabend Demonstrationen gegen die Maßnahmen zur Eindämmung der Corona-Pandemie gegeben.,1
2021 14:29 Uhr 02:03 min Link des Audios Rechte: MITTELDEUTSCHER RUNDFUNK In einigen Städten hatten die Weihnachts-Märkte im November schon auf-gemacht.,1
"Die elektrische Zahnbürste kann mit der Smartphone-App von Oral-B über Bluetooth gekoppelt werden, um Ihnen benutzerdefiniertes Echtzeit-Feedback zu geben.",1
"Wolfgang Voigt verfasste ein poetisches Werk, das die mystische Dimension seiner Musik unbeschadet konzeptioneller Erläuterungen vermied.",0
"August 2025, 14:49 Uhr Ein Helikopter der Bundeswehr stürzte am Dienstagsvormittag ab.",0
Von dieser Vergrößerung sind oft Frauen betroffen.,1
Und Funktionärskleidung trocknet rasch. Wir sollten unsere feuchte Bekleidung regelmäßig durch trockene ersetzen und eine Kopfbedeckung tragen.,0
Einige Menschen benötigen beträchtliche Unterstützung.,0
Diese Menschen dürfen Amlodipin nicht nehmen.,1
"Laut Sozialministerin Köpping sind die Impfungen dann bei Haus- und Betriebsärzten, in Kliniken sowie durch mobile Teams möglich.",1
Sie können das Kennzeichen ohne Stempel auch für eine Haupt- und Abgasuntersuchung verwenden.,0
In den meisten Fällen sind Viren die Ursache für eine akute Bronchitis.Verschiedene Viren-Arten können eine akute Bronchitis auslösen wie zum Beispiel Grippe-Viren.,1
"Wenn Sie zu uns ins Standesamt kommen, überlassen wir Ihnen die Eheurkunde unverzüglich.",0
Die Knochen besitzen in diesem Fall Lücken und verlieren an Stärke.,0
Das hat Torsten Ceglarek gesagt.,1
Das müssen sie den Mitarbeitern vom Bürger-Büro sagen.,1
Was ist ein Herzinfarkt?,1
Fragen Sie daher Ihren Arzt: Welche Menge ist die richtige für mich?,1
Neuer Abschnitt MDR FERNSEHEN Do 02.10.,1
Jetzt können die Leute ohne Roll·stuhl ungestört feiern.,1
Die Bundesregierung hat den Entwurf eines Zweiten Gesetzes zur Umsetzung steuerlicher Hilfsmaßnahmen zur Bewältigung der Corona-Krise vorgelegt.,1
Sie erkennen oder empfinden Schmerzen oder sind krank?,0
Weitere Beschwerden können sein: Erektionsprobleme Probleme beim Samenerguss Achtung : Die Beschwerden können auch andere Ursachen haben.,1
"Die Industrie, die Heizungsanlagen und der Verkehrssektor releasen noch zu viel Kohlendioxid.",0
Ich kann mich um den Hund kümmern.,1
Wir überprüfen das Register für Ehepartnerschaften.,0
Ob Sie sich um das Kind hinreichend Sorge tragen.,0
Das kann noch passieren: Wenn es noch weniger Intensiv-Pflege-Kräfte gibt: Dann können sie sich vielleicht nicht mehr um alle Menschen kümmern.,1
"Wir werden Ihnen dann informieren, an welcher Stelle Sie unterstützen können.",0
Eine betroffene Person nimmt ein Medikament lange ein?,1
Der Arzt übermittelt Ihnen sämtliche entscheidenden Erkenntnisse hinsichtlich dieser Vakzination.,0
Dann sagt der Arzt dazu: Divertikulitis.,1
"Das bedeutet, dass diese Chemikalien eine sehr lang anhaltende Persistenz in der Umwelt aufweist.",0
Eine leichte Entzündung.,0
"Die Viren gelangen auf verschiedene Arten in den Körper: durch Hautoberflächensubstantivierung, durch Kontaktaufnahme mit Gegenständen wie z.B. Türklinken oder durch Tröpfcheninfektion.",0
Die Bildungs-Ministerin von Sachsen-Anhalt ist Eva Feußner.,1
Mehr Informationen über den Bänderriss im Knie finden Sie hier .,1
Die Waisen-Rente für Ihr Kind wird angerechnet.,1
Das bedeutet: Multiple Sklerose entwickelt sich anfangs in episodischen Abschnitten.,0
Gegenanzeige erstattet Zschäpe gegen das Verfassungsgericht.,0
Jetzt weiß ich: Das harte Training hat sich gelohnt.,1
In dieser Ausstellung können sich die Besucher vielfältige Informationen über Dampfloks präsentiert sehen.,0
Das bedeutet: Sie übernehmen eine ehrenamtliche Funktion.,0
"Es ist vorteilhaft, dass es die Impfungen gegen das Coronavirus gibt.",0
Der Licht-Weg soll sich an die Friedliche Revolution im Jahr 1989 erinnern.,0
"Ob es sich um Blaualgen handelt, ist unklar.",1
Der Hallescher FC hat das Spiel mit 0:2 unterlegen.,0
"Sie wohnen in den deutschen Staaten: Sachsen, Sachsen-Anhalt und Thüringen.",0
"In Deutschland können dies nur Personen sein, die auf die angebotenen Unterstützungen verzichten.",0
Welche Dokumente benötige ich zur Stelle?,0
"Viele Polizisten haben dann in der Stadt Aufsicht geführt, um sicherzustellen, dass die Menschen keine Demonstration abhielten.",0
Bringen Sie den vorgeschlagenen Antrag ununterzeichnet vor.,0
Dann könnte auch das individuelle Krebserkrankungsrisiko größer sein.,0
Bei manchen Personen nimmt der Darm aber zu wenig Gallensäure auf.,1
Hier stehen ein paar Beispiele: Die Betreuungs-Person kann zu vielen Lebens-Fragen beraten.,1
Dann spricht er mit Ihnen über die Behandlungen.,1
"Selbsthilfegruppen im Internet können zu einer Online-Communität oder -Plattform gezählt werden, auf der Menschen sich austauschen und unterstützen können.",0
Das bedeutet: Kein Fahrgast wurde direkt getroffen.,1
Sie müssen der Person eine Vollmacht geben.,1
Deshalb werden diese Gefängnisse zu voll.,1
Dafür können sie zum Beispiel: • Ihren Impf-Ausweis • oder ein Papier vom Arzt zeigen.,1
Unter anderem wurden mehrere Fahrzeuge eines Autohauses angezündet.,1
Und die betroffene Person hört auf zu atmen.,1
Sie denken zum Beispiel: Dass es zu viele Corona-Regeln gibt.,1
Normales Deutsches: Die Teilnehmer erlangen auf der internationalen Truck- und Trailer-Schulung (ITS) praxisorientierte Erfahrungen.,0
Halle wird am Wochenende wieder zum Lichtermeer: Das 88.,1
Aber ein persönliches Gespräch kann oftmals eine unterstützende Wirkung entfalten!,0
In Leipzig gibt es eine große Messe-Halle .,1
Eine Person leidet zum Beispiel an Akrophobie.,0
"Der MDR DE Service präsentiert ein neues Angebot zur Barrierefreiheit. Ein wichtiger Schritt dahinter ist die Einführung eines neuen Bereiches mit leicht verständlichen Nachrichten. Eine der ersten Neuigkeiten ist, dass die kleine Leopardin im Leipziger Zoo nun einen Namen hat. Stand: 28.",0
Dann fehlt Ihnen ein Eisprung.,0
"Das bedeutet, dass der Patient einer chirurgischen Eingriff entbehren muss.",0
Jetzt werden immer wieder Flieger-Bomben auf dem Platz gefunden: Die dann entschärft werden müssen.,1
Aber die Viruskrankheiten können auch nach langen Zeiträumen erneut auftreten.,0
Und die Gesundheits-Ämter sagen dem Robert-Koch-Institut : Wie viele Menschen das Corona-Virus haben.,1
Aber auch auf dem Wein-Fest gab es Streit.,1
In dem Film wird die Bedeutung von einschlägigen Themen wie Isolation und Verbindung verarbeitet. Die Zuschauer können ihn nun im Kino besuchen.,0
"Zu unseren Sharing-Produkten gehört neben der Call-a-Bike-Familie auch Flinkster, das gemeinsam mit unseren vielen Partnern betriebene Carsharing-Netzwerk.",1
"Hier können Sie diese Nachricht auch in schwerer Sprache lesen Wer in Halle einen Bußgeld- oder Kostenbescheide befürchten muss, kann demnächst für ein paar Tage entspannen.",1
Aber sie kann die Hygiene stören.,1
In der Frühförderstelle erwerben die Kinder ein umfassendes Wissen.,0
Die neuesten Nachrichten von dieser Woche Über dieses Thema berichtet der MDR auch in schwerer Sprache: MDR SACHSEN I 06.,1
• Immer mehr Menschen arbeiten in Behinderten-Werkstätten.,1
Neuer Abschnitt Ein Nachrichten-Audio in Leichter Sprache MDR FERNSEHEN Do 07.10.,0
Auch im Landkreis Altenburger Land konnten zwei Wölfe registriert werden.,0
Sie konnten sich dort erholen.,0
Das Symbol wird allgemein als QR-Code bezeichnet.,0
In Havelberg ist Pferde-Markt Die Stadt Havelberg macht jedes Jahr einen großen Pferde-Markt.,1
Die Demonstranten versammeln sich an der Goethestraße.,0
Das KiBiz gilt im gesamten Bundesland Nordrhein-Westfalen.,0
Dann rauchen Sie nicht.,1
Dann können Sie sich beratend aneignen.,0
Dies ist jedoch von entscheidender Bedeutung für ein gleichwertiges Dasein.,0
"Dezember 2021, 12:00 Uhr Die Gemeinde Herbsleben ist im Bundes-Land Thüringen.",1
Ein Trennriss im Knieschienbein bedarf einer adäquaten medizinischen Behandlung.,0
So entsteht ein Zwischenraum zwischen dem Zahn und dem Zahnfleisch.,1
Was sind die Ursachen für einen Schlaganfall?,1
Sie müssen nicht zum Dienst vorstellig sein.,0
Die Polizei ermittelt jetzt wegen verschiedenen Sachen gegen die Demonstranten .,1
Es wurden auch 5 Polizisten bei der Demonstration verletzt.,1
Bei einer Gallenkolik rutscht nämlich der Gallenstein aus der Gallenblase in den Gallengang.,1
Wie können Sie eine Muskelverletzung vermeiden?,1
Venen und Arterien bilden zusammen die Blutgefäße im Körper.,1
Das bedeutet: Ein Mensch macht absichtlich etwas kaputt: Damit wichtige Sachen nicht mehr funktionieren.,1
Diese Erlaubnis heiÃt Vollmacht.,1
Sie heißt: Mit Haut und Haaren.,1
Jod ist zum Beispiel oft in Salz.,1
Haben andere Angehörige in Ihrer Familie Varizen oder Phlebitiden?,0
"Die Leber ist aromatisiert mit Kokosnuss, Bananenfrüchten und Chilischoten.",0
MDR.DE Service Barrierefreiheit Nachrichten in leichter Sprache Neuer Bereich Gegen den Politiker Björn Höcke kann jetzt ermittelt werden Hauptinhalt Stand: 25.,1
Oder Sie bestellen die Sterbe-Urkunde am Telefon mit einem Brief über das Internet.,1
Wie kann man eine Hashimoto-Thyreoiditis erkennen?,1
Was sagt die Beschaffenheit des Stuhlgangs über Ihre Gesundheit aus?,1
ErklÃ¤rung zum Neben-Wohnsitz Sie brauchen diese ErklÃ¤rung nicht: Wenn Sie in KÃ¶ln schon einen Haupt-Wohnsitz haben.,1
Prävention ist ein anderes Wort für: Vorbeugung oder Verhütung.,1
In diesen 3 Bundes-Ländern wurden einige Ärzte über-prüft.,1
Das Sprunggelenk ist im Fuß.,1
Mitstreitern der Fridays-for-Future-Bewegung sind der 24. Juli gewidmet.,0
Sie können sich bei uns beraten lassen.,1
Gehörlose Menschen können nicht hören.,1
Dann müssen Sie die Erklärung ausdrucken.,1
Wenn Sie nicht im Rathaus heiraten möchten: Dann können Sie auch außerhalb des Standesamtes oder in einiger Entfernung von diesem heiraten.,0
Wichtig: Die Person muss uns ihren Ausweis zeigen.,1
"Deswegen hat die Firma das Produkt ""Bedex"" entwickelt.",0
Der Hauptteil des Nagels ist die Nagelplatte.,0
Mehr Informationen über Gürtelrose finden Sie hier .,1
Zusammen mit einem persönlichen Identifikationsnummerncode (PIN),0
Auch im Bundes-Land Sachsen-Anhalt ist das so.,1
Ehrenamtlich heißt: Die Helfer und Helferinnen bekommen für ihre Arbeit kein Geld.,1
Sie erhalten von uns eine Bestätigung.,0
"Oktober 2021, 15:25 Uhr Die Stadt Stendal ist in dem Bundes-Land Sachsen-Anhalt.",1
Die Therapie kann dann mehrere Monate in Anspruch nehmen.,0
Dann wirkt die kontraceptive Maßnahme nicht mehr zuverlässig.,0
"Betroffene Personen sollten insbesondere Maßnahmen ergreifen, wie zum Beispiel Nichtrauchen, ein gesundes Körpergewicht zu achten, sportlich aktiv zu sein, Stressquellen zu vermeiden und sich durch eine ausgewogene Ernährung zu unterstützen. Dadurch können sie das Risiko für das gefährliche akute Koronarsyndrom senken.",0
Caspar David Friedrich wird allgemein als der bekannteste Maler der deutschen Romantik betrachtet.,0
"Der Arzt diagnostiziert eine Hypotonie, falls der Blutdruck zu niedrig ist.",0
Oft sind die Schmerzen wie ein Stechen.,1
"Wenn Sie uns alle nötigen Papiere zeigen, dann bekommen Sie den vorläufigen Reise-Pass sofort.",1
Sie leiden unter den klassischen Symptomen eines Morbus functionalis intestinalis.,0
Deshalb umfassen Verpackungsinformationen häufig solche Daten: einschließlich.,0
Sie ist immer offen für neue Ideen und Anregungen.,1
Manchmal sind aber auch Bakterien die Ursache für eine akute Bronchitis.,1
Den Rest bezahlt das Amt .,1
"Mal in die Schule geht, heißt das: Einschulung .",1
"Wenn Sie zurzeit im Ausland wohnen, dann ist das Standesamt für Sie zuständig, an dem Sie vorher in Deutschland registriert waren.",0
Und Sie können jederzeit mit dem Vorgang aufhören.,0
Mehr Informationen über den Fersensporn erhalten Sie hier .,0
Apple möchte aus diesen Informationen Erkenntnisse ziehen.,0
Der Boden war in einem bemerkenswerten Trockenheitszustand.,0
Die Einkommens-Erklärung können Sie hier herunter laden.,1
Auf dem Plan steht: • Was die Politiker heute alles machen müssen.,1
Später sind die Menschen von der Pegida noch zusammen durch die Stadt gelaufen.,1
"Zum Beispiel: • Butter, • Käse • und Joghurt.",1
"Der Zahnarzt empfiehlt Ihnen, Ihre Zähne ordnungsgemäß zu pflegen.",0
Dann beachten Sie sorgfältig die Beschwerden und Vorstellungen der Verletzeten.,0
Manche Parteien haben bei der Wahl einen beträchtlichen Stimmenanteil erhalten.,0
"(Note: I've applied the guidelines to convert the simple sentence into a more formal and idiomatic German sentence. The length remains similar, with only a slight increase of 10-15%. No additional information is introduced.)",0
Aber Sie brauchen nach 15 Jahren ein neues Dokument .,1
Alltagssprache Leichte Sprache Inhalte vorlesen Jedes Jahr am 27.01.,1
"Zum Beispiel: Sie kÃ¶nnen den FÃ¼hrer-Schein von der Person mitbringen, wenn Sie einen Personal-Ausweis oder Pass verloren haben.",1
Hier können Sie noch mehr zu dieser Nachricht in Leichter Sprache lesen Barrierefreiheit Viele Menschen in Sachsen haben kaputte Dinge repariert.,1
Manchmal ist die Milch nicht von einer Kuh.,0
Deshalb ist eine gründliche Nachsorge sehr wichtig.,1
Die Täter bleiben vielfach unentdeckt.,0
"Hier können Sie diese Nachricht auch in schwerer Sprache lesen Bis zum Herbst 2023 eröffnet in Meiningen mit der ""Erlebniswelt Dampflok"" eine in Deutschland einmalige Ausstellung.",1
"Sie möchten wissen, ob es weitere Informationen zu Arthrose gibt?",0
Dann erhalten Sie ein Identifikationsmerk,0
Die neuesten Nachrichten von dieser Woche Über dieses Thema berichtet der MDR auch in schwerer Sprache: MDR SACHSEN - Das Sachsenradio | Regionalnachrichten aus dem Studio Dresden | 06.,1
Diese Sachen sind untersagt.,0
Sie müssen dann vielleicht auf bestimmte Medikamente verzichten.,1
Es gibt den Bürger-Haushalt .,1
Besonders die Muskeln im Nacken und in den Schultern fühlen sich steif an.,1
L-Thyroxin ist ein Schilddrüsenhormon.,1
"SEPA-Mandat für die Kfz-Steuer SEPA-Mandat für die Kfz-Steuer Wenn Sie in Deutschland ein Fahrzeug zulassen, dann müssen Sie Steuern dafür bezahlen.",1
"Was geschieht, wenn Sie die Heiratsurkunde benötigen, um eine Rentenversicherung zu beantragen?",0
([[SYSTEM]]),0
Sie nehmen neben Johanniskraut noch andere Medikamente ein?,1
Und zur Sicherheit können Sie die Parameter zwischen den Messungen mittels eines Blutdruckmessgeräts überprüfen.,0
Er ist 31 Jahre alt.,1
Dann sollten Sie sich vorab unbedingt mit Ihrem behandelnden Arzt beraten.,0
Geeignet sind: After Mund Achsel Ohr Stirn Hinweis : Nicht alle Thermometer eignen sich für alle Körperstellen.,1
"Oder Ihre Freunde behaupten, Sie tränken zu viel Alkohol?",0
Johanniskraut gibt es in vielen verschiedenen Arten.,1
Der Defibrillator kann bei der Reanimation unterstützen.,0
Wir sagen Ihnen gerne: Was Sie mit dem neuen Personal-Ausweis alles machen können.,1
Das Schau-Bild offenbart: etwa ein Viertel der 30-jährigen Kinder in Deutschland lebt in Armut.,0
Die Bestätigung möchten wir von Ihnen gesehen haben.,0
"Wenn Sie in dem Ort heiraten, dann werden Ihre Namen in die Liste geschrieben.",1
"MDR.DE Service - Barrierefreiheit - Nachrichten in leichter Sprache - Neuer Bereich. Bei Opel wird die Automobilproduktion für eine bestimmte Zeitspanne ausgesetzt, Stand: 01.",0
"Die Konto-Daten, die Sie für den bestimmten Zweck benötigen: IBAN DE89 3705 0198 0093 1329 75, BIC COLSDE33XXX, Verwendungszweck Buchungsstelle 9709.000.1230.7.",0
Die Lunge besitzt zwei Lungenflügel.,0
Zum Beispiel: • Ob der Mann den Böller selber an-gezündet hat.,1
Beim Geschehen und Zusehen.,0
Sonst müssen Sie weitere Zahlungen leisten.,0
Er verstarb im Jahr 2014.,0
Und das Baby wurde vielleicht von einem Menschen getötet.,1
"Sie mÃ¼ssen diesem Menschen schriftlich erlauben, fÃ¼r Sie zum Anmelden von Ihrem Wohnsitz zu uns zu kommen.",1
Wo finde ich Gesetze zur Einbürgerung?,1
Das bedeutet: Es besteht keine Zulassung für den Teilnahme an Fußballspielen.,0
Eine Glas-Manufaktur ist ein Werkstatort: an dem Glas weiterhin handwerklich gefertigt und mundgeblasen wird.,0
Dann werden Sie auf die Adresse und den Öffnungsbetrieb aufmerksam gemacht.,0
"Hier können Sie diese Nachricht auch in einer anspruchsvolleren Form lesen. Während sich die Pandemie bemerkbar gemacht hat, haben die politischen Institutionen Krankenhäuser mit Milliarden-Euro-Subventionen unterstützt.",0
Die neuesten Nachrichten von dieser Woche Über dieses Thema berichtet der MDR auch in schwerer Sprache: SPORT IM OSTEN im MDR AKTUELL Nachrichtenradio | 16.,1
"Der MDR Sachsen informiert in seinem Programm ""MDR Sachsen - Das Sachsenradio"" Regionalnachrichten aus dem Studio Bautzen, auch über die jüngsten Entwicklungen und Ereignisse aus diesem Bereich.",0
Dann kann ein Nasenspray vielleicht helfen.,1
Was sind die Ursachen einer Parodontitis?,1
Durch das Zittern arbeiten die Muskeln und Wärme entsteht.,1
Der Mann wurde früher schon einmal von der Polizei be-obachtet.,1
"Für 2021 rechnet die Bundesregierung mit einer einsetzenden Belebung der Wirtschaft, die den Schwung des Konjunkturpaketes weitertragen wird.",1
Die Pille danach enthält den Wirkstoff Levonorgestrel.,1
Von dort gelangt das Virus in die Körperzellen und vermehrt sich.,1
Und es erweist sich als ziemlich scharf.,0
"September 2021, 15:20 Uhr Immer mehr Menschen fahren mit E-Bikes .",1
Oder Sie haben andere Fragen zu Ihrem Medikament?,1
• Und sie dürfen nicht erschossen werden.,1
"Damit die Bestattungsfirma die Beerdigung für Sie ordnungsgemäß abwickeln kann, müssen Sie ihr den Auftrag erteilen.",0
In einigen Ländern erfordert die Grenzüberquerung neben dem nationalen Lenkungsschein auch den Vorzeigung eines internationalen Lenkungsscheins.,0
"Normales Schriftdeutsch: Schwarzer Hautkrebs ist eine Form des Melanoms, einer Krebserkrankung, die in der Haut auftritt.",0
Und dieses Gel ist manchmal auch in Nasenspray.,1
Hatten andere Menschen in Ihrer Familie einen Bandscheibenvorfall?,1
So wie wir es in der Tradition fortsetzen.,0
Was sind Gallensteine? Normal: Welche Leiden Gallensteine verursachen können.,0
"Nach § 55 des Gesetzes über Ordnungswidrigkeiten (Ordnungswidrigkeitengesetz) erhalten Sie die Gelegenheit, zum Vorwurf Stellung zu beziehen.",0
Der Arzt verwendet für die Probenahme ein längeres Medikationsstift.,0
Nach Weihnachten wurden in Magdeburg die Corona-Regeln strenger gemacht.,1
Wir senden Ihnen den Antrag zur Aufnahme in das Beiblatt.,0
zum Beispiel: • in Parks • und kleinen Straßen.,1
Die Schocklage ist nicht immer zielführend.,0
"Zum Beispiel: Sie müssen mehr bezahlen: Wenn Sie ein Wunsch-Kennzeichen haben wollen: Dann müssen Sie zusätzlich 10,20 Euro bezahlen.",1
"Weiterempfehlungsbereitschaft, Kaufneigung, Mitarbeitermotivation) und zielgruppenbezogene (z.",1
"Mit der Nutzung unserer Dienste erklären Sie sich damit einverstanden, dass wir Cookies verwenden.",1
Oktober 2021 zählt die neue CO2-Uhr auf taz.de die Zeit herunter bis zum Verfehlen des Klimaziels.,1
Der eigentlich für Freitag geplante Start musste wegen baulicher Probleme abgesagt werden.,1
"2022, 13:31 Uhr, 01:33 Minuten, Links des Audios, Rechte liegen bei Mitteldeutscher Rundfunk. Daher ist der Wasserstand in diesen Flüssen momentan ungewöhnlich hoch.",0
Schreiben Sie Ihre Daten in einen Brief.,1
Wo bekomme ich den Führerschein?,1
Kommunizieren Sie mit Ihrem behandelnden Ärztlichen Mitarbeiter oder einem Apotheken-Experten.,0
Auch die Betrüger wollen das Rätsel lösen.,1
So kann ein Endokrinologe eine hyperplastische Schilddrüse diagnostizieren.,0
Den Test können Sie in Köln nur bei der Volks-Hoch-Schule machen.,1
"Mögliche Anzeichen einer Überlastung sind zum Beispiel: Schwindel, Kopfschmerzen, ein rotes Gesicht, Herzklopfen, Luftnot, Nervosität und Schlafstörungen. Beim Blutdruckmessen muss die Manschette auf gleicher Höhe mit dem Herz sein.",0
Am Sonntag gab die Polizei eine Öffentlichkeitsfahndung heraus - bislang ohne Erfolg.,1
Zum Beispiel reduziert das Gesetz den Umfang der Umsatzsteuer.,0
Oder das Familieneintragebuch.,0
Und wann die Menschen den Reparatur-Bonus wieder bekommen können.,1
In der Partei AfD haben sich scheinbar viele Menschen Waffen gekauft.,1
Skifahren in Österreich am 13.,1
Das neue SARS-CoV-2-Virus breitet sich momentan aufgrund seiner hohen Ansteckungsrate rasch weltweit aus.,0
"August 2025, 14:58 Uhr Am Montag sind die Sommer-Ferien in Mittel-Deutschland vorbei.",1
Als unverheiratete Mutter fordert Sie das Ausstellungsamt zur Vorlage Ihres Geburtstagebuchs auf.,0
"2025 um 13:26 Uhr ist die Zeit, zu der das Audio-Beiträge des Mitteldeutschen Rundfunks auf dem Link verfügbar gemacht werden wird. Zum Beispiel: Der Erste.",0
Damit die Computer noch mehr können.,1
So konnten alle Menschen wissen: Dass der Notruf kaputt war.,1
Der Mensch ist immunisiert gegen das Coronavirus.,0
Traubensilberkerze kann als Tee- oder Tablettenpräparat beispielsweise verfügbar sein.,0
Deshalb ist eine adäquate Therapie der chronischen Bronchitis von entscheidender Bedeutung.,0
Hier können Sie diese Nachricht auch in schwerer Sprache lesen: 50 Organisationen machen sich vor dem Jahreswechsel für ein Böllerverbot stark.,1
Die neuen Preise treten am 1. ab.,0
Haben Sie bitte Geduld.,1
Für viele Unternehmen stellt die Rekrutierung von Fachfachkräften ein Herausforderung dar.,0
Und zuweilen müssen sie nicht ausreichend Zeit für Pause einlegen.,0
Hinweis : Der Juckreiz ist bei Wärme stärker.,1
• Wenn sie einen Kindes-Missbrauch bemerkt haben.,1
Aber das genügt den Küchenpersonal nicht.,0
"Wenn Sie noch keinen eAT haben, muss der aktuelle Aufenthalts-Titel in Ihrem Pass stehen.",1
Man kann sie betrachten oder auf ihnen zu Pferd sitzen.,0
Da haben einige Menschen gesagt: Die Kirche muss sich verändern .,1
Die Menschen aus der Rocker-Gruppe sind Anhänger von den Hells Angels .,1
Dann weichen die Unterzeichnungen voneinander ab.,0
Der untere Fersensporn heißt auch: plantarer Fersensporn.,1
Dafür müssten weitere Studienplätze geschaffen werden.,0
Deswegen hat die Firma das Produkt „Bedex“ gemacht.,1
Das Blut circuliert durch die Gefäße im Körper.,0
Dann wird die neue Transaktion gelöscht.,1
Dort gibt es Infos über die Reformation.,1
Der Mann war bereits einem Vorführungsverfahren durch die Polizei unterworfen.,0
"Das neue Coronavirus ist ansteckend, da es überwiegend durch direkte oder indirekte Tröpfcheninfektion und Kontakt mit infizierten Menschen übertragen wird.",0
"Januar 2022, 17:00 Uhr Hier finden Sie auch Übersetzungen auf anspruchsvollere Sprache Die Omikron-Variante hat sich in Thüringen zum prävalenten SARS-CoV-2-Typ entwickelt.",0
Krankheitserreger sind zum Beispiel Viren oder Bakterien.,1
Der Arzt erklärt Ihnen die Behandlungsmöglichkeiten für Ihren Kropf.,0
Ich habe niemanden hier.,1
"Die Menschen können den Strom aus dem Batteriespeicher nutzen, wenn die Windräder keine Energie produzieren, da es keine windigen Bedingungen gibt.",0
Denn sonst könnten die Tiere sie fressen.,1
Über dieses Thema berichtet der MDR auch in schwerer Sprache: MDR SACHSEN-ANHALT - Das Radio wie wir | 01.,1
Dann müssen Sie uns weitere Papiere zeigen.,1
Sie reden darüber: Wie viel Geld die Stahl-Arbeiter in Zukunft bekommen sollen.,1
Und Google durchsucht all diese Informationen.,1
Aber wahrscheinlich existiert bereits eine Aufgabe.,0
"Wenn Sie Elternbeiträge zahlen müssen, können Sie das Geld von Ihrem Girokonto überweisen.",0
"Mitteilen Sie dem Rettungsdienst, dass ich in Quarantäne untergebracht bin.",0
Die Augen und die Lunge werden gereizt durch das Anwesen von Reizgas.,0
Einige Menschen dürfen Kurkuma nicht nehmen.,1
